scene_id,Noise,Sharpness,Details,Dynamic Range,Exposure,Contrast,Banding,White Balance,Saturation,Ghost
011,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
012,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
023,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
066,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
068,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
088,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
114,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
191,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
002,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
003,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
006,Motorola = Monalisa,Motorola = Monalisa,Motorola =< Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
009,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
016,Motorola = Monalisa,Motorola = Monalisa,Motorola => Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
031,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
